experiment,parameter,value,unit
ek_convergence,N=100_slope,-1.2816,
ek_convergence,N=100_binsWithEnergy,11,
ek_convergence,N=200_slope,-2.3667,
ek_convergence,N=200_binsWithEnergy,6,
ek_convergence,N=400_slope,-2.0768,
ek_convergence,N=400_binsWithEnergy,6,
kh_sweep,wf=0.5_growthRatio,6.6987,
kh_sweep,wf=0.5_measuredGrowthRate,6.339722,1/s
kh_sweep,wf=0.5_analyticGrowthRate,0.392699,1/s
kh_sweep,wf=1_growthRatio,2.8149,
kh_sweep,wf=1_measuredGrowthRate,3.449775,1/s
kh_sweep,wf=1_analyticGrowthRate,0.785398,1/s
kh_sweep,wf=2_growthRatio,5.3400,
kh_sweep,wf=2_measuredGrowthRate,5.584064,1/s
kh_sweep,wf=2_analyticGrowthRate,1.570796,1/s
kh_sweep,wf=4_growthRatio,6.9550,
kh_sweep,wf=4_measuredGrowthRate,6.464854,1/s
kh_sweep,wf=4_analyticGrowthRate,3.141593,1/s
enstrophy_balance,enstrophyChangeRatio,1.0399,
enstrophy_balance,vortConservation,0.5571,%
enstrophy_balance,avgProdDissRatio,1.7964,
cascade_timescales,nu=0.001_tauStretch,0.0921,s
cascade_timescales,nu=0.001_tauDiffuse,151.7408,s
cascade_timescales,nu=0.001_timescaleRatio,1647.5095,
cascade_timescales,nu=0.005_tauStretch,0.0921,s
cascade_timescales,nu=0.005_tauDiffuse,30.4532,s
cascade_timescales,nu=0.005_timescaleRatio,330.6422,
cascade_timescales,nu=0.01_tauStretch,0.0921,s
cascade_timescales,nu=0.01_tauDiffuse,15.2924,s
cascade_timescales,nu=0.01_timescaleRatio,166.0353,
cascade_timescales,nu=0.02_tauStretch,0.0921,s
cascade_timescales,nu=0.02_tauDiffuse,7.7122,s
cascade_timescales,nu=0.02_timescaleRatio,83.7344,